"object_id","trap_attractant","trap_id","latitude","longitude","address","town","state","county","trap_site","trap_set","set_time_day","trap_collected","collected_time_day","genus_species","life_stage","eggs_collected","larvae_collected","pupae_collected","females_collected","males_collected","unknown_collected","report_date","total_collected","trap_time_out"
1,"ABC Trap: CO2 with light","4B",38.985287,-77.038164,"1640 Kalmia Rd. NW","Washington","DC","District of Columbia","School",2016-04-25 04:00:00,"Morning",2016-04-27 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",4,3,0,2017-12-01 19:59:00,7,-2
2,"Gravid Trap: Hay or grass infusion","4B",38.985287,-77.038164,"1640 Kalmia Rd. NW","Washington","DC","District of Columbia","School",2016-06-13 04:00:00,"Morning",2016-06-15 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",50,5,0,2017-12-05 18:08:00,55,-2
3,"ABC Trap: CO2 with light","4B",38.985287,-77.038164,"1640 Kalmia Rd. NW","Washington","DC","District of Columbia","School",2016-06-06 04:00:00,"Morning",2016-06-08 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",2,0,0,2017-12-05 16:13:00,2,-2
4,"Gravid Trap: Hay or grass infusion","4B",38.985287,-77.038164,"1640 Kalmia Rd. NW","Washington","DC","District of Columbia","School",2016-05-09 04:00:00,"Afternoon",2016-05-11 04:00:00,"Afternoon","Culex_pipiens","Adult","No","No","No",3,0,0,2017-12-04 18:40:00,3,-2
5,"Gravid Trap: Hay or grass infusion","4B",38.985287,-77.038164,"1640 Kalmia Rd. NW","Washington","DC","District of Columbia","School",2016-07-18 04:00:00,"Morning",2016-07-20 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",23,1,0,2017-12-07 15:40:00,24,-2
6,"Gravid Trap: Hay or grass infusion","4B",38.985287,-77.038164,"1640 Kalmia Rd. NW","Washington","DC","District of Columbia","School",2016-10-17 04:00:00,"Morning",2016-10-19 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",16,11,0,2017-12-12 20:23:00,27,-2
7,"Gravid Trap: Hay or grass infusion","4B",38.985287,-77.038164,"1640 Kalmia Rd. NW","Washington","DC","District of Columbia","School",2016-08-01 04:00:00,"Morning",2016-08-03 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",14,0,0,2017-12-07 21:38:00,14,-2
8,"Gravid Trap: Hay or grass infusion","4B",38.985287,-77.038164,"1640 Kalmia Rd. NW","Washington","DC","District of Columbia","School",2016-09-26 04:00:00,"Morning",2016-09-28 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",19,16,0,2017-12-12 15:58:00,35,-2
9,"Gravid Trap: Hay or grass infusion","4B",38.985287,-77.038164,"1640 Kalmia Rd. NW","Washington","DC","District of Columbia","School",2016-09-26 04:00:00,"Morning",2016-09-28 04:00:00,"Morning","Aedes_sp.","Adult","No","No","No",7,0,0,2017-12-12 15:58:00,7,-2
10,"Gravid Trap: Hay or grass infusion","4B",38.985287,-77.038164,"1640 Kalmia Rd. NW","Washington","DC","District of Columbia","School",2016-07-25 04:00:00,"Morning",2016-07-27 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",12,0,0,2017-12-07 19:10:00,12,-2
11,"Gravid Trap: Hay or grass infusion","4B",38.985287,-77.038164,"1640 Kalmia Rd. NW","Washington","DC","District of Columbia","School",2016-05-16 04:00:00,"Morning",2016-05-18 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",24,0,0,2017-12-04 21:26:00,24,-2
12,"ABC Trap: CO2 with light","4B",38.985287,-77.038164,"1640 Kalmia Rd. NW","Washington","DC","District of Columbia","School",2016-05-23 04:00:00,"Morning",2016-05-25 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",8,0,0,2017-12-04 22:37:00,8,-2
13,"ABC Trap: CO2 with light","4B",38.985287,-77.038164,"1640 Kalmia Rd. NW","Washington","DC","District of Columbia","School",2016-05-02 04:00:00,"Morning",2016-05-04 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",3,1,0,2017-12-01 21:21:00,4,-2
14,"Gravid Trap: Hay or grass infusion","4B",38.985287,-77.038164,"1640 Kalmia Rd. NW","Washington","DC","District of Columbia","School",2016-10-03 04:00:00,"Morning",2016-10-05 04:00:00,"Morning","Culex_pipiens","Adult","No","No","No",10,6,0,2017-12-12 17:12:00,16,-2
